Gap_ID,Start,End
Gap_1,1885-01-01 00:00:00,1885-02-28 23:00:00
Gap_2,1885-07-22 00:00:00,1885-07-25 23:00:00
Gap_3,1885-08-01 00:00:00,1885-08-02 23:00:00
Gap_4,1885-08-14 00:00:00,1885-08-17 23:00:00
Gap_5,1885-08-19 00:00:00,1885-09-02 23:00:00
Gap_6,1885-11-16 00:00:00,1885-12-31 23:00:00
Gap_7,1886-05-12 00:00:00,1886-05-20 23:00:00
Gap_8,1886-05-22 00:00:00,1886-06-02 23:00:00
Gap_9,1886-06-23 00:00:00,1886-07-15 23:00:00
Gap_10,1886-07-28 00:00:00,1886-08-10 23:00:00
Gap_11,1888-02-05 00:00:00,1888-03-26 23:00:00
Gap_12,1889-03-05 00:00:00,1889-03-08 23:00:00
Gap_13,1889-03-31 00:00:00,1889-10-27 23:00:00
Gap_14,1890-10-10 00:00:00,1894-12-31 23:00:00
Gap_15,1913-07-28 00:00:00,1913-12-31 23:00:00
Gap_16,1933-09-02 00:00:00,1952-08-31 23:00:00
Gap_17,1957-06-18 00:00:00,1957-06-26 23:00:00
Gap_18,1959-01-24 00:00:00,1959-01-29 23:00:00
Gap_19,1960-02-16 00:00:00,1960-02-29 23:00:00
Gap_20,1962-01-01 00:00:00,1962-12-31 23:00:00
Gap_21,1963-06-01 00:00:00,1963-06-30 23:00:00
Gap_22,1964-01-01 00:00:00,1965-12-31 23:00:00
Gap_23,1966-05-01 00:00:00,1966-07-11 23:00:00
Gap_24,1966-11-22 00:00:00,1966-12-02 23:00:00
Gap_25,1967-03-31 00:00:00,1967-08-24 23:00:00
Gap_26,1970-01-01 00:00:00,1970-03-11 23:00:00
Gap_27,1972-06-01 00:00:00,1972-06-01 23:00:00
Gap_28,1972-06-04 00:00:00,1972-06-05 23:00:00
Gap_29,1972-06-09 00:00:00,1972-06-29 23:00:00
Gap_30,1972-11-22 00:00:00,1972-12-04 23:00:00
Gap_31,1975-12-17 00:00:00,1976-01-23 23:00:00
Gap_32,1977-04-01 00:00:00,1977-06-09 23:00:00
Gap_33,1977-11-18 00:00:00,1977-12-07 23:00:00
Gap_34,1979-05-09 00:00:00,1979-05-12 23:00:00
Gap_35,1979-05-28 00:00:00,1979-06-11 23:00:00
Gap_36,1979-08-10 00:00:00,1979-09-21 23:00:00
Gap_37,1980-01-17 00:00:00,1980-01-25 23:00:00
Gap_38,1984-01-01 00:00:00,1984-01-01 23:00:00
Gap_39,1984-09-01 00:00:00,1984-10-01 23:00:00
Gap_40,1984-11-13 00:00:00,1985-02-28 23:00:00
Gap_41,1985-07-22 00:00:00,1985-07-25 23:00:00
Gap_42,1985-08-01 00:00:00,1985-08-02 23:00:00
Gap_43,1985-08-14 00:00:00,1985-08-17 23:00:00
Gap_44,1985-08-19 00:00:00,1985-09-02 23:00:00
Gap_45,1985-11-16 00:00:00,1986-02-28 23:00:00
Gap_46,1987-08-28 00:00:00,1987-10-09 23:00:00
Gap_47,1988-01-01 00:00:00,1988-01-07 23:00:00
Gap_48,1988-11-11 00:00:00,1989-03-01 23:00:00
Gap_49,1989-07-01 00:00:00,1989-07-16 23:00:00
Gap_50,1990-05-01 00:00:00,1990-06-30 23:00:00
Gap_51,1991-03-01 00:00:00,1991-03-31 23:00:00
Gap_52,1991-11-01 00:00:00,1991-11-30 23:00:00
Gap_53,1992-03-01 00:00:00,1992-03-15 23:00:00
Gap_54,1993-04-18 00:00:00,1993-07-11 23:00:00
Gap_55,1993-07-30 00:00:00,1993-08-12 23:00:00
Gap_56,1994-08-01 00:00:00,1994-10-01 23:00:00
Gap_57,1996-01-01 00:00:00,1996-04-30 23:00:00
Gap_58,2000-02-24 00:00:00,2000-03-01 23:00:00
Gap_59,2000-11-30 00:00:00,2000-12-06 23:00:00
Gap_60,2001-02-22 00:00:00,2001-04-10 23:00:00
Gap_61,2003-03-01 00:00:00,2003-03-31 23:00:00
Gap_62,2007-12-20 00:00:00,2008-01-03 23:00:00
Gap_63,2008-04-12 00:00:00,2008-04-19 23:00:00
Gap_64,2008-11-24 00:00:00,2008-11-30 23:00:00
Gap_65,2009-01-01 00:00:00,2009-12-31 23:00:00
Gap_66,2012-04-26 00:00:00,2012-05-02 23:00:00
Gap_67,2012-06-01 00:00:00,2012-06-04 23:00:00
Gap_68,2012-10-29 00:00:00,2012-11-06 23:00:00
Gap_69,2013-03-29 00:00:00,2013-06-18 23:00:00
Gap_70,2013-12-12 00:00:00,2013-12-17 23:00:00
Gap_71,2014-10-23 00:00:00,2017-02-09 23:00:00
Gap_72,2017-11-12 00:00:00,2017-11-18 23:00:00
Gap_73,2017-11-26 00:00:00,2017-11-29 23:00:00
Gap_74,2017-12-10 00:00:00,2017-12-16 23:00:00
Gap_75,2017-12-30 00:00:00,2017-12-31 23:00:00
Gap_76,2018-03-02 00:00:00,2018-03-06 23:00:00
Gap_77,2018-03-16 00:00:00,2018-03-20 23:00:00
Gap_78,2018-09-10 00:00:00,2018-10-13 23:00:00
Gap_79,2018-11-05 00:00:00,2019-03-28 23:00:00
Gap_80,2019-04-02 00:00:00,2019-04-05 23:00:00
Gap_81,2020-07-04 00:00:00,2020-07-09 23:00:00
Gap_82,2020-11-03 00:00:00,2020-11-09 23:00:00
Gap_83,2020-11-29 00:00:00,2020-11-30 23:00:00
