Gap_ID,Start,End
Gap_1,1886-01-01 00:00:00,1886-01-24 23:00:00
Gap_2,1887-04-04 00:00:00,1887-04-08 23:00:00
Gap_3,1887-04-15 00:00:00,1887-04-24 23:00:00
Gap_4,1887-05-03 00:00:00,1887-05-06 23:00:00
Gap_5,1887-05-16 00:00:00,1887-05-25 23:00:00
Gap_6,1892-01-29 00:00:00,1939-01-04 23:00:00
Gap_7,1939-01-28 00:00:00,1939-01-31 23:00:00
Gap_8,1939-03-14 00:00:00,1939-03-20 23:00:00
Gap_9,1939-04-18 00:00:00,1939-04-22 23:00:00
Gap_10,1940-05-19 00:00:00,1940-05-30 23:00:00
Gap_11,1941-02-28 00:00:00,1941-03-02 23:00:00
Gap_12,1941-07-10 00:00:00,1941-07-19 23:00:00
Gap_13,1941-12-22 00:00:00,1941-12-24 23:00:00
Gap_14,1941-12-26 00:00:00,1941-12-28 23:00:00
Gap_15,1942-03-19 00:00:00,1942-03-31 23:00:00
Gap_16,1945-03-26 00:00:00,1945-03-27 23:00:00
Gap_17,1945-04-18 00:00:00,1945-04-19 23:00:00
Gap_18,1945-07-04 00:00:00,1945-07-05 23:00:00
Gap_19,1945-08-18 00:00:00,1945-08-19 23:00:00
Gap_20,1945-10-13 00:00:00,1945-10-14 23:00:00
Gap_21,1945-10-22 00:00:00,1945-11-01 23:00:00
Gap_22,1945-11-04 00:00:00,1945-11-05 23:00:00
Gap_23,1945-11-26 00:00:00,1945-11-27 23:00:00
Gap_24,1945-12-10 00:00:00,1945-12-11 23:00:00
Gap_25,1945-12-14 00:00:00,1945-12-15 23:00:00
Gap_26,1945-12-26 00:00:00,1945-12-28 23:00:00
Gap_27,1946-01-02 00:00:00,1946-01-05 23:00:00
Gap_28,1946-01-17 00:00:00,1946-01-18 23:00:00
Gap_29,1946-02-01 00:00:00,1946-02-02 23:00:00
Gap_30,1946-02-17 00:00:00,1946-02-18 23:00:00
Gap_31,1946-02-26 00:00:00,1946-02-27 23:00:00
Gap_32,1946-03-18 00:00:00,1946-03-22 23:00:00
Gap_33,1946-03-25 00:00:00,1946-03-26 23:00:00
Gap_34,1946-03-28 00:00:00,1946-03-29 23:00:00
Gap_35,1946-04-01 00:00:00,1946-04-05 23:00:00
Gap_36,1946-04-14 00:00:00,1946-04-15 23:00:00
Gap_37,1946-04-19 00:00:00,1946-04-20 23:00:00
Gap_38,1946-04-29 00:00:00,1946-05-05 23:00:00
Gap_39,1946-05-12 00:00:00,1946-05-20 23:00:00
Gap_40,1946-05-28 00:00:00,1946-06-03 23:00:00
Gap_41,1946-06-09 00:00:00,1946-06-16 23:00:00
Gap_42,1946-06-18 00:00:00,1946-06-20 23:00:00
