Gap_ID,Start,End
Gap_1,1874-01-01 00:00:00,1874-04-20 23:00:00
Gap_2,1877-01-15 00:00:00,1877-01-16 23:00:00
Gap_3,1877-02-02 00:00:00,1877-02-10 23:00:00
Gap_4,1877-09-13 00:00:00,1877-09-14 23:00:00
Gap_5,1877-11-04 00:00:00,1877-11-11 23:00:00
Gap_6,1877-11-19 00:00:00,1877-12-02 23:00:00
Gap_7,1878-04-13 00:00:00,1878-04-19 23:00:00
Gap_8,1878-04-25 00:00:00,1881-04-03 23:00:00
Gap_9,1885-08-10 00:00:00,1885-08-24 23:00:00
Gap_10,1886-04-08 00:00:00,1949-12-31 23:00:00
Gap_11,1950-06-10 00:00:00,1950-06-13 23:00:00
Gap_12,1954-01-01 00:00:00,1954-12-31 23:00:00
Gap_13,1958-02-01 00:00:00,1958-02-14 23:00:00
Gap_14,1958-06-16 00:00:00,1958-06-27 23:00:00
Gap_15,1958-09-01 00:00:00,1958-09-15 23:00:00
Gap_16,1958-12-16 00:00:00,1958-12-31 23:00:00
Gap_17,1960-11-01 00:00:00,1960-11-15 23:00:00
Gap_18,1962-05-17 00:00:00,1962-05-31 23:00:00
Gap_19,1964-01-01 00:00:00,1965-12-31 23:00:00
Gap_20,1976-01-01 00:00:00,1976-01-03 23:00:00
Gap_21,1979-01-01 00:00:00,1979-12-31 23:00:00
Gap_22,1980-11-01 00:00:00,1981-12-31 23:00:00
Gap_23,1984-03-16 00:00:00,1984-04-11 23:00:00
Gap_24,1989-01-01 00:00:00,1989-12-31 23:00:00
Gap_25,2002-11-01 00:00:00,2002-11-30 23:00:00
Gap_26,2009-01-01 00:00:00,2009-12-31 23:00:00
Gap_27,2016-01-01 00:00:00,2020-12-31 23:00:00
Gap_28,2021-01-02 00:00:00,2021-01-09 23:00:00
Gap_29,2021-03-16 00:00:00,2021-04-15 23:00:00
Gap_30,2021-05-01 00:00:00,2022-07-15 23:00:00
