Gap_ID,Start,End
Gap_1,1952-12-18 00:00:00,1953-02-16 23:00:00
Gap_2,1954-01-01 00:00:00,1955-12-31 23:00:00
Gap_3,1958-06-18 00:00:00,1958-06-27 23:00:00
Gap_4,1965-01-01 00:00:00,1965-12-31 23:00:00
Gap_5,1967-06-01 00:00:00,1967-06-10 23:00:00
Gap_6,1968-01-01 00:00:00,1968-01-01 23:00:00
Gap_7,1974-03-25 00:00:00,1974-04-05 23:00:00
Gap_8,1978-07-09 00:00:00,1978-07-18 23:00:00
Gap_9,1979-01-01 00:00:00,1979-12-31 23:00:00
Gap_10,1981-11-14 00:00:00,1981-11-16 23:00:00
Gap_11,1981-11-29 00:00:00,1981-11-30 23:00:00
Gap_12,1983-04-30 00:00:00,1983-05-01 23:00:00
Gap_13,1983-05-28 00:00:00,1983-05-30 23:00:00
Gap_14,1983-08-10 00:00:00,1983-08-11 23:00:00
Gap_15,1983-11-04 00:00:00,1983-11-05 23:00:00
Gap_16,1983-11-07 00:00:00,1983-11-08 23:00:00
Gap_17,1983-12-05 00:00:00,1983-12-06 23:00:00
Gap_18,1984-03-18 00:00:00,1984-04-12 23:00:00
Gap_19,1984-05-13 00:00:00,1984-05-17 23:00:00
Gap_20,1984-05-25 00:00:00,1984-05-27 23:00:00
Gap_21,1984-06-02 00:00:00,1984-06-05 23:00:00
Gap_22,1984-06-08 00:00:00,1984-06-11 23:00:00
Gap_23,1984-06-17 00:00:00,1984-06-18 23:00:00
Gap_24,1984-07-04 00:00:00,1984-07-06 23:00:00
Gap_25,1984-07-18 00:00:00,1984-07-19 23:00:00
Gap_26,1984-08-02 00:00:00,1984-08-05 23:00:00
Gap_27,1984-08-07 00:00:00,1984-08-28 23:00:00
Gap_28,1984-10-26 00:00:00,1984-10-29 23:00:00
Gap_29,1985-05-03 00:00:00,1985-05-06 23:00:00
Gap_30,1985-08-18 00:00:00,1985-08-19 23:00:00
Gap_31,1985-10-12 00:00:00,1985-10-31 23:00:00
Gap_32,1986-05-05 00:00:00,1986-05-24 23:00:00
Gap_33,1987-03-20 00:00:00,1987-04-01 23:00:00
Gap_34,1987-10-01 00:00:00,1987-11-01 23:00:00
Gap_35,1989-04-18 00:00:00,1989-04-30 23:00:00
Gap_36,1990-02-21 00:00:00,1990-03-16 23:00:00
Gap_37,1992-06-20 00:00:00,1992-06-30 23:00:00
Gap_38,1992-08-01 00:00:00,1992-08-12 23:00:00
Gap_39,1992-12-01 00:00:00,1992-12-16 23:00:00
Gap_40,1993-02-19 00:00:00,1993-02-28 23:00:00
Gap_41,1993-05-01 00:00:00,1993-05-12 23:00:00
Gap_42,1993-06-01 00:00:00,1993-06-15 23:00:00
Gap_43,1998-01-15 00:00:00,1998-01-19 23:00:00
Gap_44,1999-06-01 00:00:00,1999-07-02 23:00:00
Gap_45,2000-06-16 00:00:00,2001-06-06 23:00:00
Gap_46,2001-07-01 00:00:00,2001-10-01 23:00:00
Gap_47,2002-02-25 00:00:00,2002-03-31 23:00:00
Gap_48,2002-05-01 00:00:00,2002-10-31 23:00:00
Gap_49,2002-11-30 00:00:00,2004-08-11 23:00:00
Gap_50,2005-12-01 00:00:00,2006-08-11 23:00:00
Gap_51,2006-10-17 00:00:00,2006-11-10 23:00:00
Gap_52,2006-12-01 00:00:00,2006-12-08 23:00:00
Gap_53,2007-06-01 00:00:00,2007-06-11 23:00:00
Gap_54,2007-08-13 00:00:00,2007-08-31 23:00:00
Gap_55,2008-03-17 00:00:00,2008-05-17 23:00:00
Gap_56,2008-08-21 00:00:00,2008-08-25 23:00:00
Gap_57,2009-05-01 00:00:00,2009-07-18 23:00:00
Gap_58,2009-11-22 00:00:00,2009-12-02 23:00:00
Gap_59,2011-07-25 00:00:00,2011-09-21 23:00:00
Gap_60,2014-08-11 00:00:00,2014-08-22 23:00:00
Gap_61,2015-01-01 00:00:00,2015-12-31 23:00:00
Gap_62,2016-05-30 00:00:00,2016-06-13 23:00:00
Gap_63,2017-06-12 00:00:00,2017-06-19 23:00:00
Gap_64,2019-01-01 00:00:00,2019-01-02 23:00:00
Gap_65,2019-01-05 00:00:00,2019-01-09 23:00:00
Gap_66,2020-05-25 00:00:00,2020-06-22 23:00:00
Gap_67,2020-11-14 00:00:00,2020-11-18 23:00:00
Gap_68,2020-12-16 00:00:00,2021-01-01 23:00:00
Gap_69,2021-02-13 00:00:00,2021-02-17 23:00:00
Gap_70,2021-02-20 00:00:00,2021-02-22 23:00:00
Gap_71,2021-04-24 00:00:00,2021-04-28 23:00:00
Gap_72,2021-05-01 00:00:00,2021-05-31 23:00:00
Gap_73,2021-07-24 00:00:00,2021-07-26 23:00:00
Gap_74,2021-07-29 00:00:00,2021-07-30 23:00:00
Gap_75,2021-12-18 00:00:00,2021-12-19 23:00:00
