Gap_ID,Start,End
Gap_1,1921-01-01 06:00:00,1921-01-01 13:00:00
Gap_2,1921-01-15 00:00:00,1921-02-01 23:00:00
Gap_3,1924-12-16 00:00:00,1924-12-31 23:00:00
Gap_4,1925-12-15 00:00:00,1925-12-31 23:00:00
Gap_5,1957-12-20 00:00:00,1957-12-31 23:00:00
Gap_6,1958-12-19 00:00:00,1958-12-31 23:00:00
Gap_7,1968-12-25 00:00:00,1968-12-31 23:00:00
Gap_8,1969-12-05 00:00:00,1969-12-31 23:00:00
Gap_9,1978-12-31 00:00:00,1978-12-31 23:00:00
Gap_10,1983-11-18 00:00:00,1983-12-31 23:00:00
Gap_11,1989-11-08 00:00:00,1989-12-31 23:00:00
Gap_12,1991-10-31 00:00:00,1991-12-31 23:00:00
Gap_13,1994-06-13 00:00:00,2004-12-31 23:00:00
Gap_14,2005-08-03 00:00:00,2005-12-31 23:00:00
Gap_15,2007-01-06 00:00:00,2007-01-11 23:00:00
Gap_16,2007-06-30 00:00:00,2007-07-04 23:00:00
Gap_17,2007-09-16 00:00:00,2007-09-22 23:00:00
Gap_18,2007-11-26 00:00:00,2007-12-12 23:00:00
Gap_19,2008-07-19 00:00:00,2008-07-23 23:00:00
Gap_20,2011-09-01 00:00:00,2011-09-07 23:00:00
Gap_21,2011-10-16 00:00:00,2011-10-19 23:00:00
Gap_22,2011-10-25 00:00:00,2011-11-04 23:00:00
Gap_23,2011-11-25 00:00:00,2014-12-31 23:00:00
Gap_24,2015-06-28 00:00:00,2015-07-08 23:00:00
Gap_25,2015-08-01 00:00:00,2015-08-05 23:00:00
Gap_26,2016-01-01 00:00:00,2016-01-01 23:00:00
Gap_27,2016-05-18 00:00:00,2016-07-27 23:00:00
Gap_28,2016-09-05 00:00:00,2016-09-10 23:00:00
Gap_29,2016-10-30 00:00:00,2016-11-11 23:00:00
Gap_30,2016-12-22 00:00:00,2017-01-04 23:00:00
Gap_31,2018-01-01 00:00:00,2018-01-06 23:00:00
Gap_32,2018-01-31 00:00:00,2018-02-05 23:00:00
Gap_33,2018-03-01 00:00:00,2018-03-04 23:00:00
Gap_34,2018-03-30 00:00:00,2018-04-04 23:00:00
Gap_35,2018-04-16 00:00:00,2018-04-21 23:00:00
Gap_36,2018-05-15 00:00:00,2018-05-20 23:00:00
Gap_37,2018-06-12 00:00:00,2019-12-31 23:00:00
Gap_38,2020-06-30 00:00:00,2020-07-06 23:00:00
Gap_39,2020-09-04 00:00:00,2020-09-07 23:00:00
Gap_40,2020-12-01 00:00:00,2020-12-09 23:00:00
Gap_41,2020-12-18 00:00:00,2021-01-01 23:00:00
Gap_42,2021-04-27 00:00:00,2021-05-03 23:00:00
Gap_43,2021-05-06 00:00:00,2021-05-10 23:00:00
Gap_44,2021-05-25 00:00:00,2021-05-31 23:00:00
Gap_45,2021-07-02 00:00:00,2021-07-03 23:00:00
Gap_46,2021-08-25 00:00:00,2021-08-26 23:00:00
Gap_47,2021-09-16 00:00:00,2021-09-16 23:00:00
Gap_48,2021-10-09 00:00:00,2021-10-11 23:00:00
Gap_49,2021-12-10 00:00:00,2021-12-13 23:00:00
Gap_50,2022-05-30 00:00:00,2022-06-17 23:00:00
Gap_51,2022-07-04 00:00:00,2022-07-07 23:00:00
Gap_52,2022-07-14 00:00:00,2022-09-05 23:00:00
