Gap_ID,Start,End
Gap_1,1956-01-01,1956-12-31 23:00:00
Gap_2,1958-01-01,1958-12-31 23:00:00
Gap_3,1959-03-01,1959-03-02 23:00:00
Gap_4,1960-11-01,1960-12-01 23:00:00
Gap_5,1960-12-28,1961-01-04 23:00:00
Gap_6,1962-01-01,1962-12-31 23:00:00
Gap_7,1963-09-05,1963-09-10 23:00:00
Gap_8,1968-07-21,1968-07-26 23:00:00
Gap_9,1969-01-01,1969-12-31 23:00:00
Gap_10,1977-01-01,1977-01-01 23:00:00
Gap_11,1977-01-08,1977-01-31 23:00:00
Gap_12,1978-09-16,1978-09-21 23:00:00
Gap_13,1978-11-18,1979-01-06 23:00:00
Gap_14,1981-01-01,1981-01-02 23:00:00
Gap_15,1981-01-06,1981-01-07 23:00:00
Gap_16,1981-01-18,1981-01-20 23:00:00
Gap_17,1981-02-02,1981-02-03 23:00:00
Gap_18,1981-02-13,1981-05-17 23:00:00
Gap_19,1982-12-05,1982-12-08 23:00:00
Gap_20,1984-01-05,1984-01-18 23:00:00
Gap_21,1985-03-08,1985-03-11 23:00:00
Gap_22,1985-05-11,1985-05-14 23:00:00
Gap_23,1985-06-30,1985-07-01 23:00:00
Gap_24,1985-10-21,1985-10-22 23:00:00
Gap_25,1985-12-07,1985-12-09 23:00:00
Gap_26,1987-02-01,1987-03-06 23:00:00
Gap_27,1987-03-12,1987-03-16 23:00:00
Gap_28,1987-03-30,1987-05-02 23:00:00
Gap_29,1987-11-14,1987-11-16 23:00:00
Gap_30,1988-02-28,1988-03-31 23:00:00
Gap_31,1988-10-01,1988-10-10 23:00:00
Gap_32,1989-04-17,1989-04-30 23:00:00
Gap_33,1990-10-01,1990-12-07 23:00:00
Gap_34,1992-05-18,1992-07-31 23:00:00
Gap_35,1993-06-17,1993-06-30 23:00:00
Gap_36,1994-03-19,1994-04-30 23:00:00
Gap_37,1994-10-22,1994-10-31 23:00:00
Gap_38,1994-11-17,1994-11-30 23:00:00
Gap_39,1995-10-30,1995-11-30 23:00:00
Gap_40,1996-01-01,1996-02-29 23:00:00
Gap_41,1996-05-01,1996-05-14 23:00:00
Gap_42,1996-09-01,1996-10-09 23:00:00
Gap_43,1997-01-01,1997-01-16 23:00:00
Gap_44,1997-04-01,1997-09-01 23:00:00
Gap_45,1997-12-01,1999-04-12 23:00:00
Gap_46,1999-05-01,1999-08-14 23:00:00
Gap_47,1999-11-01,1999-11-12 23:00:00
Gap_48,2000-02-01,2000-02-09 23:00:00
Gap_49,2000-08-01,2000-08-15 23:00:00
Gap_50,2000-09-16,2000-09-30 23:00:00
Gap_51,2000-12-31,2001-01-03 23:00:00
Gap_52,2001-03-23,2001-09-12 23:00:00
Gap_53,2001-09-29,2001-10-03 23:00:00
Gap_54,2001-11-01,2004-04-08 23:00:00
Gap_55,2004-07-01,2004-08-31 23:00:00
Gap_56,2004-12-26,2004-12-31 23:00:00
Gap_57,2005-05-29,2005-05-31 23:00:00
Gap_58,2005-10-29,2005-11-10 23:00:00
Gap_59,2006-10-17,2007-03-13 23:00:00
Gap_60,2007-04-01,2007-04-04 23:00:00
Gap_61,2007-06-01,2007-08-03 23:00:00
Gap_62,2008-01-22,2008-01-28 23:00:00
Gap_63,2008-08-14,2008-08-31 23:00:00
Gap_64,2008-11-21,2009-01-01 23:00:00
Gap_65,2009-05-29,2009-07-13 23:00:00
Gap_66,2010-02-16,2010-02-22 23:00:00
Gap_67,2010-03-01,2010-07-09 23:00:00
Gap_68,2010-10-07,2010-10-12 23:00:00
Gap_69,2011-01-20,2011-01-25 23:00:00
Gap_70,2011-05-28,2011-06-02 23:00:00
Gap_71,2011-09-30,2011-11-01 23:00:00
Gap_72,2011-12-19,2012-02-01 23:00:00
Gap_73,2012-03-08,2012-03-14 23:00:00
Gap_74,2012-05-30,2012-08-15 23:00:00
Gap_75,2012-09-07,2012-10-03 23:00:00
Gap_76,2013-03-30,2013-04-03 23:00:00
Gap_77,2013-12-01,2014-01-03 23:00:00
Gap_78,2014-06-21,2014-09-04 23:00:00
Gap_79,2014-10-01,2016-01-02 23:00:00
Gap_80,2016-01-07,2016-01-13 23:00:00
Gap_81,2016-02-18,2016-02-23 23:00:00
Gap_82,2016-02-25,2016-02-26 23:00:00
Gap_83,2016-04-09,2016-04-12 23:00:00
Gap_84,2016-05-24,2016-05-28 23:00:00
Gap_85,2016-05-31,2016-08-17 23:00:00
Gap_86,2016-10-07,2016-10-20 23:00:00
Gap_87,2019-09-14,2019-09-25 23:00:00
Gap_88,2020-10-22,2020-11-19 23:00:00
Gap_89,2020-12-31,2021-01-07 23:00:00
Gap_90,2021-05-11,2021-06-03 23:00:00
Gap_91,2022-02-01,2022-02-01 23:00:00
